typeA mortality
75.1 4.87
86.5 6.56
72.1 4.84
89.8 4.87
80.2 4.07
75.6 4.16
78.2 3.50
86.9 7.11
60.0 8.89
93.1 4.68
83.5 5.62
73.3 3.98
80.4 4.84
85.0 4.07
60.2 4.30
60.1 3.62
86.5 8.35
78.2 4.55
64.8 6.06
77.6 9.52
57.4 5.40
92.3 4.75
81.4 3.73
72.1 4.05
70.8 3.86
79.9 6.65
75.5 6.86
100.0 4.97
100.0 7.65
72.4 4.17
80.9 6.54
77.6 3.31
100.0 5.03
84.9 6.70
79.2 5.07
85.6 4.82
96.9 7.40
87.0 5.56
36.6 3.39
100.0 4.21
50.0 3.24
95.5 3.62
100.0 5.68
100.0 4.46
100.0 4.43
100.0 3.22
100.0 4.42
100.0 7.08
100.0 5.04
100.0 7.58
100.0 4.73
100.0 5.24
83.6 7.97
100.0 6.72
89.6 5.83
100.0 6.84
100.0 4.36
100.0 6.51
63.1 3.81
100.0 4.47
100.0 5.68
100.0 4.08
100.0 3.58
59.1 5.20
100.0 5.42
68.9 3.72
100.0 5.81
100.0 4.55
100.0 6.21
100.0 8.44
100.0 5.04
0.0 3.92
100.0 3.72
100.0 4.44
100.0 4.39
100.0 6.17
100.0 5.41
100.0 7.63
42.8 4.68
100.0 6.97
100.0 5.25
100.0 8.86
100.0 7.34
100.0 4.15
100.0 5.06
65.4 3.88
63.5 3.80
85.6 5.90
78.18 6.20
63.30 5.70
74.76 8.36
33.89 5.80
86.65 4.85
64.65 5.58
100.00 7.62
78.81 11.45
89.75 3.86
69.61 6.32
100.00 4.86
68.25 5.58
90.61 4.97
100.00 4.64
2.72 6.29
100.00 4.84
100.00 3.87
100.00 6.90
64.54 7.76
100.00 7.69
94.62 7.86
100.00 8.93
37.5 7.79
100.0 6.09
100.0 11.26
100.0 14.96
100.0 5.32
100.0 5.07
100.0 4.82
100.0 5.18
100.0 5.03
100.0 5.80
100.0 7.03
100.0 4.63
92.7 4.85
100.0 7.23
100.0 8.15
100.0 5.60
100.0 4.77
100.0 4.87
100.0 5.74
100.0 6.98
64.9 5.34
100.0 5.09
100.0 4.22
100.0 6.39
100.0 5.08
100.0 8.02
100.0 6.93
65.9 4.38
100.0 8.10
100.0 11.18
100.0 3.72
100.0 4.33
100.0 3.77
100.0 4.86
100.0 6.04
95.0 4.87
66.7 4.31
53.3 4.25
98.2 5.89
100.0 5.87
100.0 7.04
64.9 4.73
100.0 7.47
70.1 7.96
100 8.92
100 6.65
